;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
0;masculino;COMERCIO;charcuteria;manrique central no. 2;1;3.0;28/12/2017;7000000;microempresarial
1;masculino;comercio;distribuidora de ;santa lucia;2;12.0;16/03/2018;$ 7,000,000.00;microempresarial
2;masculino;comercio;tienda;belen;3;16.0;2018/02/14;7800000;microempresarial
3;masculino;servicio;organización y ;robledo;2;7.0;8/09/2016;1500000;microempresarial
4;masculino;servicio;COMIDAS RAPIDAS;20 de julio;2;13.0;20/12/2016;3000000;microempresarial
5;femenino;Comercio;comidas rapidas;calasanz;1;12.0;13/06/2017;7300000;microempresarial
6;femenino;servicio;organización y ;altavista;2;70.0;2016/04/26;4000000;microempresarial
7;femenino;comercio;tienda;manrique central no. 1;2;4.0;12/06/2017;5000000;microempresarial
8;femenino;servicio;PELUQUERIA;buenos aires;3;9.0;21/07/2017;7370000;microempresarial
9;femenino;comercio;granero;robledo;2;13.0;2016/09/20;6800000;microempresarial
10;femenino;servicio;cafeteria;aranjuez;1;4.0;8/03/2018;1200000;MICROEMPRESARIAL
11;femenino;comercio;comidas rapidas;san javier no.1;1;13.0;27/07/2018;1300000;microempresarial
12;masculino;industria;fabrica de ;lopez de mesa;3;7.0;15/05/2017;7000000;microempresarial
13;FEMENINO;servicio;peluqueria;kennedy;3;6.0;3/07/2018;7000000;microempresarial
14;masculino;comercio;variedades;popular;1;1.0;19/07/2018;7800000;microempresarial
15;femenino;comercio;restaurante;robledo;1;7.0;7/06/2018;7800000;microempresarial
16;femenino;servicio;comidas rapidas;villa guadalupe;2;1.0;20/05/2016;6890000;microempresarial
17;femenino;servicio;peluqueria;robledo;3;7.0;4/07/2017;7377000;microempresarial
18;masculino;servicio;recreativo-educativo;belen;3;16.0;29/09/2016;3000000;microempresarial
19;femenino;comercio;comidas rapidas;manrique central no. 2;3;3.0;18/01/2019;5000000;microempresarial
20;Masculino;comercio;Variedades;la floresta;3;12.0;16/08/2016;6000000;microempresarial
21;masculino;comercio;variedades;popular;1;1.0;29/11/2017;7000000;microempresarial
22;femenino;industria;FABRICA DE ;manrique central no. 2;2;3.0;29/01/2018;7800000;microempresarial
